,2019-01-28 15:21:25
No.,Coin,Symbol
1,Bitcoin,BTC
2,XRP,XRP
3,Ethereum,ETH
4,EOS,EOS
5,Tether,USDT
6,Bitcoin Cash,BCH
7,Litecoin,LTC
8,TRON,TRX
9,Stellar,XLM
10,Bitcoin SV,BSV
11,Cardano,ADA
12,Binance Coin,BNB
13,Monero,XMR
14,IOTA,MIOTA
15,Dash,DASH
16,NEO,NEO
17,NEM,XEM
18,Ethereum Classic,ETC
19,USD Coin,USDC
20,Maker,MKR
21,Zcash,ZEC
22,Waves,WAVES
23,Tezos,XTZ
24,Dogecoin,DOGE
25,VeChain,VET
26,TrueUSD,TUSD
27,Ontology,ONT
28,Holo,HOT
29,Zilliqa,ZIL
30,Qtum,QTUM
31,Bitcoin Gold,BTG
32,OmiseGO,OMG
33,Decred,DCR
34,0x,ZRX
35,Basic Attenti...,BAT
36,Paxos Standar...,PAX
37,Chainlink,LINK
38,Lisk,LSK
39,Augur,REP
40,Nano,NANO
41,Bitcoin Diamond,BCD
42,Bytecoin,BCN
43,Pundi X,NPXS
44,DigiByte,DGB
45,ICON,ICX
46,BitShares,BTS
47,Revain,R
48,Gemini Dollar,GUSD
49,Siacoin,SC
50,Verge,XVG
51,Steem,STEEM
52,Aeternity,AE
53,Stratis,STRAT
54,Dai,DAI
55,Bytom,BTM
56,Komodo,KMD
57,IOST,IOST
58,Status,SNT
59,Populous,PPT
60,Electroneum,ETN
61,PayPie,PPP
62,Cryptonex,CNX
63,Golem,GNT
64,ODEM,ODE
65,Factom,FCT
66,REPO,REPO
67,Aurora,AOA
68,MaidSafeCoin,MAID
69,Ardor,ARDR
70,Insight Chain,INB
71,Huobi Token,HT
72,Loopring,LRC
73,Mixin,XIN
74,Ark,ARK
75,HyperCash,HC
76,Project Pai,PAI
77,Waltonchain,WTC
78,Polymath,POLY
79,PIVX,PIVX
80,Decentraland,MANA
81,ReddCoin,RDD
82,Dentacoin,DCN
83,THETA,THETA
84,Linkey,LKY
85,STASIS EURS,EURS
86,KuCoin Shares,KCS
87,DigixDAO,DGD
88,Aion,AION
89,GXChain,GXS
90,Bancor,BNT
91,Elastos,ELA
92,Ravencoin,RVN
93,Zcoin,XZC
94,Nexo,NEXO
95,Wanchain,WAN
96,Power Ledger,POWR
97,Crypto.com Chain,CRO
98,MonaCoin,MONA
99,Crypto.com,MCO
100,WAX,WAX
101,MOAC,MOAC
102,Buggyra Coin ...,BCZERO
103,aelf,ELF
104,TenX,PAY
105,Veritaseum,VERI
106,Centrality,CENNZ
107,QASH,QASH
108,Nxt,NXT
109,Loom Network,LOOM
110,SingularityNET,AGI
111,Digitex Futures,DGTX
112,NULS,NULS
113,Nebulas,NAS
114,MobileGo,MGO
115,Optimal Shelf...,OSA
116,Horizen,ZEN
117,QuarkChain,QKC
118,Apollo Currency,APL
119,Syscoin,SYS
120,Particl,PART
121,Enjin Coin,ENJ
122,FunFair,FUN
123,Metaverse ETP,ETP
124,Kin,KIN
125,WaykiChain,WICC
126,Obyte,GBYTE
127,Eidoo,EDO
128,Mithril,MITH
129,Gold Bits Coin,GBC
130,Enigma,ENG
131,Gas,GAS
132,Nexus,NXS
133,iExec RLC,RLC
134,Endor Protocol,EDR
135,Kyber Network,KNC
136,Dent,DENT
137,CyberMiles,CMT
138,Dragonchain,DRGN
139,Quant,QNT
140,OneRoot Network,RNT
141,ProximaX,XPX
142,Bread,BRD
143,Storj,STORJ
144,SALT,SALT
145,Bitcoin Private,BTCP
146,HYCON,HYC
147,Civic,CVC
148,BOScoin,BOS
149,Spectre.ai Di...,SXDT
150,TomoChain,TOMO
151,Cube,AUTO
152,Substratum,SUB
153,TokenClub,TCT
154,Maximine Coin,MXM
155,Nectar,NEC
156,LockTrip,LOC
157,Cortex,CTXC
158,Odyssey,OCN
159,Genesis Vision,GVT
160,SIRIN LABS Token,SRN
161,Request Network,REQ
162,Moeda Loyalty...,MDA
163,Nasdacoin,NSD
164,Santiment Net...,SAN
165,Unobtanium,UNO
166,CRYPTO20,C20
167,Storm,STORM
168,Neblio,NEBL
169,EvenCoin,EVN
170,Groestlcoin,GRS
171,Bibox Token,BIX
172,Cindicator,CND
173,Mainframe,MFT
174,Gifto,GTO
175,TrueChain,TRUE
176,Tokenomy,TEN
177,XYO,XYO
178,GoChain,GO
179,Smartlands,SLT
180,Ethos,ETHOS
181,Qubitica,QBIT
182,THEKEY,TKY
183,BnkToTheFuture,BFT
184,Gnosis,GNO
185,Emercoin,EMC
186,TokenPay,TPAY
187,Peercoin,PPC
188,Streamr DATAcoin,DATA
189,PumaPay,PMA
190,Vertcoin,VTC
191,Iconomi,ICN
192,Ignis,IGNIS
193,Po.et,POE
194,Bezant,BZNT
195,BridgeCoin,BCO
196,Lisk Machine ...,LML
197,Aragon,ANT
198,BLOCKv,VEE
199,Blocknet,BLOCK
200,Skycoin,SKY
201,Ren,REN
202,Namecoin,NMC
203,Telcoin,TEL
204,Dynamic Tradi...,DTR
205,Wagerr,WGR
206,DEX,DEX
207,Pillar,PLR
208,IoTeX,IOTX
209,FLO,FLO
210,Matrix AI Net...,MAN
211,Edgeless,EDG
212,Raiden Networ...,RDN
213,RChain,RHOC
214,Nucleus Vision,NCASH
215,Timicoin,TMC
216,Agrello,DLT
217,SmartCash,SMART
218,Dropil,DROP
219,CoinUs,CNUS
220,Everus,EVR
221,SmartMesh,SMT
222,PRIZM,PZM
223,Paragon,PRG
224,PLATINCOIN,PLC
225,Gulden,NLG
226,Neumark,NEU
227,UTRUST,UTK
228,Own,CHX
229,NavCoin,NAV
230,OST,OST
231,Fusion,FSN
232,DMarket,DMT
233,Everipedia,IQ
234,MediBloc [ERC20],MEDX
235,Credits,CS
236,STACS,STACS
237,Steem Dollars,SBD
238,VIBE,VIBE
239,Cashbery Coin,CBC
240,Energi,NRG
241,Metal,MTL
242,Quantum Resis...,QRL
243,Game.com,GTC
244,APIS,APIS
245,Scry.info,DDD
246,Crypterium,CRPT
247,Vitae,VITAE
248,Quantstamp,QSP
249,Einsteinium,EMC2
250,SaluS,SLS
251,United Trader...,UTT
252,Insolar,INS
253,Boolberry,BBR
254,WhiteCoin,XWC
255,Ruff,RUFF
256,Melon,MLN
257,Envion,EVN
258,Ubiq,UBQ
